doc_id,block_id,block_type,caption_text,candidate_rule,confidence,label,rationale,recommended_cleanup_action,risk_if_wrong
doc_0027,p5_b0081,figure_caption,Fig. 4. The P.,broken_organism_or_abbreviation_prefix,high,safe_to_demote,"Nearby preview shows a split organism or abbreviation prefix, e.g. E. + coli / S. + cerevisiae, rather than a standalone caption.",demote_fragment_caption_preserve_text_with_cleanup_metadata,"If wrong, a real caption mentioning an abbreviated organism could be demoted; require the continuation evidence in 5D-3."
doc_0050,p4_b0030,figure_caption,Fig. 3.,number_only_caption,high,eval_only_noise,"The standalone number is noisy as an eval/probe target, but the next block appears to contain a real figure caption body.",exclude_as_eval_target_or_require_caption_merge_before_cleanup,Direct demotion could split a real caption marker from its descriptive body.
doc_0050,p8_b0071,figure_caption,Fig. 7.,number_only_caption,high,eval_only_noise,"The standalone number is noisy as an eval/probe target, but the next block appears to contain a real figure caption body.",exclude_as_eval_target_or_require_caption_merge_before_cleanup,Direct demotion could split a real caption marker from its descriptive body.
doc_0050,p8_b0074,figure_caption,Fig. 8.,number_only_caption,high,eval_only_noise,"The standalone number is noisy as an eval/probe target, but the next block appears to contain a real figure caption body.",exclude_as_eval_target_or_require_caption_merge_before_cleanup,Direct demotion could split a real caption marker from its descriptive body.
doc_0073,p5_b0078,figure_caption,Figure 3.,number_only_caption,high,eval_only_noise,"The standalone number is noisy as an eval/probe target, but the next block appears to contain a real figure caption body.",exclude_as_eval_target_or_require_caption_merge_before_cleanup,Direct demotion could split a real caption marker from its descriptive body.
doc_0073,p6_b0087,figure_caption,Figure 5.,number_only_caption,high,eval_only_noise,"The standalone number is noisy as an eval/probe target, but the next block appears to contain a real figure caption body.",exclude_as_eval_target_or_require_caption_merge_before_cleanup,Direct demotion could split a real caption marker from its descriptive body.
doc_0073,p7_b0093,figure_caption,Figure 6.,number_only_caption,high,eval_only_noise,"The standalone number is noisy as an eval/probe target, but the next block appears to contain a real figure caption body.",exclude_as_eval_target_or_require_caption_merge_before_cleanup,Direct demotion could split a real caption marker from its descriptive body.
doc_0073,p7_b0095,figure_caption,Figure 7.,number_only_caption,high,eval_only_noise,"The standalone number is noisy as an eval/probe target, but the next block appears to contain a real figure caption body.",exclude_as_eval_target_or_require_caption_merge_before_cleanup,Direct demotion could split a real caption marker from its descriptive body.
doc_0083,p11_b0104,figure_caption,Figure S1. The S.,broken_organism_or_abbreviation_prefix,high,safe_to_demote,"Nearby preview shows a split organism or abbreviation prefix, e.g. E. + coli / S. + cerevisiae, rather than a standalone caption.",demote_fragment_caption_preserve_text_with_cleanup_metadata,"If wrong, a real caption mentioning an abbreviated organism could be demoted; require the continuation evidence in 5D-3."
doc_0118,p6_b0065,figure_caption,Fig 4. The C.,article_plus_single_letter_fragment,high,safe_to_demote,Caption is only a table/figure marker plus article and one letter; nearby text shows the organism/name continues outside the caption block.,demote_fragment_caption_preserve_text_with_cleanup_metadata,"If wrong, a real panel-level caption marker could lose caption evidence; current nearby preview makes that unlikely."
doc_0218,p15_b0172,figure_caption,Figure S1.,number_only_caption,high,eval_only_noise,"The standalone number is noisy as an eval/probe target, but the next block appears to contain a real figure caption body.",exclude_as_eval_target_or_require_caption_merge_before_cleanup,Direct demotion could split a real caption marker from its descriptive body.
doc_0218,p16_b0175,figure_caption,Figure S2.,number_only_caption,high,eval_only_noise,"The standalone number is noisy as an eval/probe target, but the next block appears to contain a real figure caption body.",exclude_as_eval_target_or_require_caption_merge_before_cleanup,Direct demotion could split a real caption marker from its descriptive body.
doc_0218,p17_b0178,figure_caption,Figure S3.,number_only_caption,high,eval_only_noise,"The standalone number is noisy as an eval/probe target, but the next block appears to contain a real figure caption body.",exclude_as_eval_target_or_require_caption_merge_before_cleanup,Direct demotion could split a real caption marker from its descriptive body.
doc_0218,p18_b0181,figure_caption,Figure S4.,number_only_caption,high,eval_only_noise,"The standalone number is noisy as an eval/probe target, but the next block appears to contain a real figure caption body.",exclude_as_eval_target_or_require_caption_merge_before_cleanup,Direct demotion could split a real caption marker from its descriptive body.
doc_0218,p19_b0185,figure_caption,Figure S5.,number_only_caption,high,eval_only_noise,"The standalone number is noisy as an eval/probe target, but the next block appears to contain a real figure caption body.",exclude_as_eval_target_or_require_caption_merge_before_cleanup,Direct demotion could split a real caption marker from its descriptive body.
doc_0218,p3_b0043,figure_caption,Figure 1.,number_only_caption,high,eval_only_noise,"The standalone number is noisy as an eval/probe target, but the next block appears to contain a real figure caption body.",exclude_as_eval_target_or_require_caption_merge_before_cleanup,Direct demotion could split a real caption marker from its descriptive body.
doc_0218,p4_b0051,figure_caption,Figure 2.,number_only_caption,high,eval_only_noise,"The standalone number is noisy as an eval/probe target, but the next block appears to contain a real figure caption body.",exclude_as_eval_target_or_require_caption_merge_before_cleanup,Direct demotion could split a real caption marker from its descriptive body.
doc_0250,p4_b0075,figure_caption,Figure 1.,number_only_caption,high,eval_only_noise,"The standalone number is noisy as an eval/probe target, but the next block appears to contain a real figure caption body.",exclude_as_eval_target_or_require_caption_merge_before_cleanup,Direct demotion could split a real caption marker from its descriptive body.
doc_0250,p6_b0104,figure_caption,Figure 3.,number_only_caption,high,eval_only_noise,"The standalone number is noisy as an eval/probe target, but the next block appears to contain a real figure caption body.",exclude_as_eval_target_or_require_caption_merge_before_cleanup,Direct demotion could split a real caption marker from its descriptive body.
doc_0268,p4_b0059,figure_caption,Fig. 2.,number_only_caption,high,eval_only_noise,"The standalone number is noisy as an eval/probe target, but the next block appears to contain a real figure caption body.",exclude_as_eval_target_or_require_caption_merge_before_cleanup,Direct demotion could split a real caption marker from its descriptive body.
doc_0268,p4_b0066,figure_caption,Fig. 4.,number_only_caption,high,eval_only_noise,"The standalone number is noisy as an eval/probe target, but the next block appears to contain a real figure caption body.",exclude_as_eval_target_or_require_caption_merge_before_cleanup,Direct demotion could split a real caption marker from its descriptive body.
doc_0335,p7_b0095,figure_caption,Figure 2. The B.,article_plus_single_letter_fragment,high,safe_to_demote,Caption is only a table/figure marker plus article and one letter; nearby text shows the organism/name continues outside the caption block.,demote_fragment_caption_preserve_text_with_cleanup_metadata,"If wrong, a real panel-level caption marker could lose caption evidence; current nearby preview makes that unlikely."
